series_id,model_id,asset_code,asset_subtype,asset_type,benchmark,benchmark_code,category_code,country,country_code,dm_em,description,frequency,geography,investor_category,investor_origin,investor_subtype,investor_type,key,lag,name,origin_code,region,sector,start_date,subtype_code,type_code,update_time
USFXFUTUDX1MIXINSCOMMIX,CFTC,FUTU,Futures,FX,dx1 curncy,DX1,INS,US,US,DM,Commercial investor positioning in Dollar Index futures,Weekly,AMER,Institutional,Mixed,Mixed,Commercial,AMER/NA/DM/US/FX/Futures/Mixed/Institutional/Commercial/Mixed/USFXFUTUDX1MIXINSCOMMIX.csv,7,Commercial inv. Dollar Index ,MIX,,,06/09/2006,MIX,COM,07:00:00
MXFXFUTUPE1MIXINSCOMMIX,CFTC,FUTU,Futures,FX,pe1 curncy,PE1,INS,Mexico,MX,EM,Commercial investor positioning in MXN futures,Weekly,AMER,Institutional,Mixed,Mixed,Commercial,AMER/LATAM/EM/Mexico/FX/Futures/Mixed/Institutional/Commercial/Mixed/MXFXFUTUPE1MIXINSCOMMIX.csv,7,Commercial inv. MXN ,MIX,LATAM,,06/09/2006,MIX,COM,07:00:00
USFIFUTUSERMIXINSCOMMIX,CFTC,FUTU,Futures,FI,ser3 comdty,SER,INS,US,US,DM,Commercial investor positioning in 1-month SOFR futures,Weekly,AMER,Institutional,Mixed,Mixed,Commercial,AMER/NA/DM/US/FI/Futures/Mixed/Institutional/Commercial/Mixed/USFIFUTUSERMIXINSCOMMIX.csv,7,Commercial inv. 1-month SOFR ,MIX,,,18/07/2018,MIX,COM,07:00:00
GLCOMFUTUSB1MIXINSSPEMIX,CFTC,FUTU,Futures,COM,sb1 comdty,SB1,INS,Global,GL,DM,Non Commercial investor positioning in Sugar futures,Weekly,GLOBAL,Institutional,Mixed,Mixed,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Mixed/GLCOMFUTUSB1MIXINSSPEMIX.csv,7,Non-commercial inv. Sugar ,MIX,Global,,06/09/2006,MIX,SPE,07:00:00
USEQFUTUUX1MIXINSSPEMIX,CFTC,FUTU,Futures,EQ,ux1 index,UX1,INS,US,US,DM,Non Commercial investor positioning in VIX futures,Weekly,AMER,Institutional,Mixed,Mixed,Speculative,AMER/NA/DM/US/EQ/Futures/Mixed/Institutional/Speculative/Mixed/USEQFUTUUX1MIXINSSPEMIX.csv,7,Non-commercial inv. VIX ,MIX,,,06/09/2006,MIX,SPE,07:00:00
GLCOMFUTUHG1MIXINSSPEMAN,CFTC_DISAGG_COM,FUTU,Futures,COM,hg1 comdty,HG1,INS,Global,GL,DM,Managed Money investor positioning in Copper futures,Weekly,GLOBAL,Institutional,Mixed,Managed money,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Managed money/GLCOMFUTUHG1MIXINSSPEMAN.csv,7,Managed Money Copper ,MIX,Global,,06/09/2006,MAN,SPE,07:00:00
GLCOMFUTUSB1MIXINSCOMPRO,CFTC_DISAGG_COM,FUTU,Futures,COM,sb1 comdty,SB1,INS,Global,GL,DM,Producer investor positioning in Sugar futures,Weekly,GLOBAL,Institutional,Mixed,Producer,Commercial,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Commercial/Producer/GLCOMFUTUSB1MIXINSCOMPRO.csv,7,Producers Sugar ,MIX,Global,,06/09/2006,PRO,COM,07:00:00
GLCOMFUTUGC1MIXINSCOMSWA,CFTC_DISAGG_COM,FUTU,Futures,COM,gc1 comdty,GC1,INS,Global,GL,DM,Swap Dealer investor positioning in Gold futures,Weekly,GLOBAL,Institutional,Mixed,Swap dealer,Commercial,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Commercial/Swap dealer/GLCOMFUTUGC1MIXINSCOMSWA.csv,7,Swap Dealers Gold ,MIX,Global,,06/09/2006,SWA,COM,07:00:00
MXFXFUTUPE1MIXINSSPEASS,CFTC_DISAGG,FUTU,Futures,FX,pe1 curncy,PE1,INS,Mexico,MX,EM,Asset Manager investor positioning in MXN futures,Weekly,AMER,Institutional,Mixed,Asset manager,Speculative,AMER/LATAM/EM/Mexico/FX/Futures/Mixed/Institutional/Speculative/Asset manager/MXFXFUTUPE1MIXINSSPEASS.csv,7,Asset Manager MXN ,MIX,LATAM,,06/09/2006,ASS,SPE,07:00:00
USEQFUTURTYMIXINSSPELEV,CFTC_DISAGG,FUTU,Futures,EQ,rty1 index,RTY,INS,US,US,DM,Leveraged Funds investor positioning in Russell 2000 E-mini futures,Weekly,AMER,Institutional,Mixed,Leveraged fund,Speculative,AMER/NA/DM/US/EQ/Futures/Mixed/Institutional/Speculative/Leveraged fund/USEQFUTURTYMIXINSSPELEV.csv,7,Leveraged Funds Russell 2000 E-mini ,MIX,,,17/08/2017,LEV,SPE,07:00:00
BRFXFUTUBR1MIXINSSPELEV,CFTC_DISAGG,FUTU,Futures,FX,br1 curncy,BR1,INS,Brazil,BR,EM,Leveraged Funds investor positioning in BRL futures,Weekly,AMER,Institutional,Mixed,Leveraged fund,Speculative,AMER/LATAM/EM/Brazil/FX/Futures/Mixed/Institutional/Speculative/Leveraged fund/BRFXFUTUBR1MIXINSSPELEV.csv,7,Leveraged Funds BRL ,MIX,LATAM,,11/09/2011,LEV,SPE,07:00:00
GBFXFUTUBP1MIXINSCOMDEA,CFTC_DISAGG,FUTU,Futures,FX,bp1 curncy,BP1,INS,UK,GB,DM,Dealer intermediary investor positioning in GBP futures,Weekly,EMEA,Institutional,Mixed,Dealer,Commercial,EMEA/Europe/DM/UK/FX/Futures/Mixed/Institutional/Commercial/Dealer/GBFXFUTUBP1MIXINSCOMDEA.csv,7,Dealer Intermediary GBP ,MIX,Europe,,06/09/2006,DEA,COM,07:00:00
USEQFUTUWSPMIXINSCOMDEA,CFTC_DISAGG,FUTU,Futures,EQ,wsp1 index,WSP,INS,US,US,DM,Dealer intermediary investor positioning in S&P500 futures,Weekly,AMER,Institutional,Mixed,Dealer,Commercial,AMER/NA/DM/US/EQ/Futures/Mixed/Institutional/Commercial/Dealer/USEQFUTUWSPMIXINSCOMDEA.csv,7,Dealer Intermediary S&P500 ,MIX,,,20/08/2020,DEA,COM,07:00:00
JPEQSTCKFORINSMIXMIX,JP_EQ,STCK,Stocks,EQ,,,INS,Japan,JP,DM,Foreign Institutional investors' flows into Japanese Stocks,Weekly,APAC,Institutional,Foreign,Mixed,Mixed,APAC/Asia/DM/Japan/EQ/Stocks/Foreign/Institutional/Mixed/Mixed/JPEQSTCKFORINSMIXMIX.csv,7,Japan Foreign Institutional Equity,FOR,Asia,,05/01/2005,MIX,MIX,07:00:00
USEQFUTUNQ1MIXINSSPECTA,CTA,FUTU,Futures,EQ,nq1 index,NQ1,INS,US,US,DM,CTA flows in Nasdaq 100 E-mini futures,Daily,AMER,Institutional,Mixed,CTA,Speculative,AMER/NA/DM/US/EQ/Futures/Mixed/Institutional/Speculative/CTA/USEQFUTUNQ1MIXINSSPECTA.csv,1,CTA Nasdaq 100 E-mini,MIX,,,10/01/2010,CTA,SPE,00:00:00
KREQFUTUDOMINSCOMDEA,KR_EQ_OPT,FUTU,Futures,EQ,,,INS,Korea,KR,EM,Domestic financial investment flow into Korean futures,Daily,APAC,Institutional,Domestic,Dealer,Commercial,APAC/Asia ex-JP/EM/Korea/EQ/Futures/Domestic/Institutional/Commercial/Dealer/KREQFUTUDOMINSCOMDEA.csv,1,Korea Domestic Financial inv. Equity Futures,DOM,Asia ex-JP,,09/01/2009,DEA,COM,01:00:00
CNEQHSHRMIXMIXPASETF-TECH,ETF_3,HSHR,H-Shares,EQ,,,MIX,China,CN,EM,ETFs flows into China H-Shares Tech,Daily,APAC,Mixed,Mixed,ETF,Passive,APAC/Asia ex-JP/EM/China/EQ/H-Shares/Mixed/Mixed/Passive/ETF/CNEQHSHRMIXMIXPASETF-TECH.csv,1,ETFs China Tech H-Shares,MIX,Asia ex-JP,TECH,13/08/2013,ETF,PAS,09:00:00
CNEQHSHRDOMMIXMIXMIX-FINA,CN_EQ,HSHR,H-Shares,EQ,,,MIX,China,CN,EM,Mainland investors' flows into H-Shares Financial ,Daily,APAC,Mixed,Domestic,Mixed,Mixed,APAC/Asia ex-JP/EM/China/EQ/H-Shares/Domestic/Mixed/Mixed/Mixed/CNEQHSHRDOMMIXMIXMIX-FINA.csv,1,China Mainland H-Shares Financials,DOM,Asia ex-JP,FINA,19/09/2019,MIX,MIX,09:00:00
CNFIBONDDOMINSREAPEN,CN_FI,BOND,Bonds,FI,,,INS,China,CN,EM,Domestic Pension funds' inflows into Chinese Bonds,Monthly,APAC,Institutional,Domestic,Pension fund,Real money,APAC/Asia ex-JP/EM/China/FI/Bonds/Domestic/Institutional/Real money/Pension fund/CNFIBONDDOMINSREAPEN.csv,14,China Domestic Pension Funds Bonds,DOM,Asia ex-JP,,08/01/2008,PEN,REA,07:00:00
USEQOPTIDOMINDSPERET-STAP,US_EQ_RET_OPT,OPTI,Options,EQ,,,IND,US,US,DM,Retail investors' net bullish in US Cons. Staples  Options,Daily,AMER,Individual,Mixed,Retail,Speculative,AMER/NA/DM/US/EQ/Options/Mixed/Individual/Speculative/Retail/USEQOPTIDOMINDSPERET-STAP.csv,1,US Retail Cons. Staples Options,DOM,,STAP,01/01/2017,RET,SPE,11:00:00
GLCOMFUTUCT1MIXINSSPERP,RP,FUTU,Futures,COM,ct1 comdty,CT1,INS,Global,GL,DM,Risk Parity funds flows in Cotton  futures,Daily,GLOBAL,Institutional,Mixed,Risk Parity,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Risk Parity/GLCOMFUTUCT1MIXINSSPERP.csv,1,Risk Parity Funds Cotton  ,MIX,Global,,10/01/2010,RP,SPE,00:00:00
USEQFUTURTYMIXINSSPERP,RP,FUTU,Futures,EQ,rty1 index,RTY,INS,US,US,DM,Risk Parity funds flows in Russell 2000 E-mini futures,Daily,AMER,Institutional,Mixed,Risk Parity,Speculative,AMER/NA/DM/US/EQ/Futures/Mixed/Institutional/Speculative/Risk Parity/USEQFUTURTYMIXINSSPERP.csv,1,Risk Parity Funds Russell 2000 E-mini ,MIX,,,18/07/2018,RP,SPE,00:00:00
KREQFUTUKM1MIXINSSPERP,RP,FUTU,Futures,EQ,km1 index,KM1,INS,Korea,KR,EM,Risk Parity funds flows in KOSPI 200 futures,Daily,APAC,Institutional,Mixed,Risk Parity,Speculative,APAC/Asia ex-JP/EM/Korea/EQ/Futures/Mixed/Institutional/Speculative/Risk Parity/KREQFUTUKM1MIXINSSPERP.csv,1,Risk Parity Funds KOSPI 200 ,MIX,Asia ex-JP,,10/01/2010,RP,SPE,00:00:00
GLCOMFUTUSB1MIXINSSPERP,RP,FUTU,Futures,COM,sb1 comdty,SB1,INS,Global,GL,DM,Risk Parity funds flows in Sugar futures,Daily,GLOBAL,Institutional,Mixed,Risk Parity,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Risk Parity/GLCOMFUTUSB1MIXINSSPERP.csv,1,Risk Parity Funds Sugar ,MIX,Global,,10/01/2010,RP,SPE,00:00:00
GBFIFUTUG1MIXINSSPEAGG,FI_AGGRESSORS,FUTU,Futures,FI,g 1 comdty,G1,INS,UK,GB,DM,Speculative positioning in UK GILTS (10YR) futures,Daily,EMEA,Institutional,Mixed,Aggressors,Speculative,EMEA/Europe/DM/UK/FI/Futures/Mixed/Institutional/Speculative/Aggressors/GBFIFUTUG1MIXINSSPEAGG.csv,1,Speculative UK GILTS (10YR) ,MIX,Europe,,05/01/2005,AGG,SPE,12:30:00
GLCOMCOMB-S1,COM_COMB,MIX,Mixed,COM,s 1 comdty,S1,COMB,Global,GL,DM,Combined positioning in Soybean ,Daily,GLOBAL,Combined,Mixed,Mixed,Mixed,GLOBAL/Global/DM/Global/COM/Mixed/Mixed/Combined/Mixed/Mixed/GLCOMCOMB-S1.csv,1,Soybean,,Global,,10/01/2010,,,05:00:00
TRFIBONDFORINSMIXMIX,TR_FOR,BOND,Bonds,FI,,,INS,Turkey,TR,EM,Foreign flows in Turkey bonds,Weekly,EMEA,Institutional,Foreign,Mixed,Mixed,EMEA/Europe/EM/Turkey/FI/Bonds/Foreign/Institutional/Mixed/Mixed/TRFIBONDFORINSMIXMIX.csv,7,Turkey Foreign Bonds,FOR,Europe,,20/09/2020,MIX,MIX,08:00:00
USFICOMB-30YR,US_FI_COMB,FUTU,Futures,FI,wn1 comdty,WN1,COMB,US,US,DM,Combined positioning in UST 30YR,Daily,AMER,Combined,Mixed,Mixed,Mixed,AMER/NA/DM/US/FI/Futures/Mixed/Combined/Mixed/Mixed/USFICOMB-30YR.csv,1,UST 30Y,,,,10/01/2010,,,05:00:00
TWEQCOMB,TW_EQ_COMB,MIX,Mixed,EQ,,,COMB,Taiwan,TW,EM,Combined positioning in Taiwanese stocks,Daily,APAC,Combined,Mixed,Mixed,Mixed,APAC/Asia ex-JP/EM/Taiwan/EQ/Mixed/Mixed/Combined/Mixed/Mixed/TWEQCOMB.csv,1,Taiwan Equity,,Asia ex-JP,,10/01/2010,,,05:00:00
TWEQCOMB-DISC,TW_EQ_COMB,MIX,Mixed,EQ,,,COMB,Taiwan,TW,EM,Combined positioning in Taiwanese Cons. Disc. Stocks,Daily,APAC,Combined,Mixed,Mixed,Mixed,APAC/Asia ex-JP/EM/Taiwan/EQ/Mixed/Mixed/Combined/Mixed/Mixed/TWEQCOMB-DISC.csv,1,Taiwan Cons. Disc.,,Asia ex-JP,DISC,12/07/2012,,,05:00:00
TWEQCOMB-FINA,TW_EQ_COMB,MIX,Mixed,EQ,,,COMB,Taiwan,TW,EM,Combined positioning in Taiwanese Financial Stocks,Daily,APAC,Combined,Mixed,Mixed,Mixed,APAC/Asia ex-JP/EM/Taiwan/EQ/Mixed/Mixed/Combined/Mixed/Mixed/TWEQCOMB-FINA.csv,1,Taiwan Financials,,Asia ex-JP,FINA,12/07/2012,,,05:00:00
TWEQCOMB-INDU,TW_EQ_COMB,MIX,Mixed,EQ,,,COMB,Taiwan,TW,EM,Combined positioning in Taiwanese Industrials Stocks,Daily,APAC,Combined,Mixed,Mixed,Mixed,APAC/Asia ex-JP/EM/Taiwan/EQ/Mixed/Mixed/Combined/Mixed/Mixed/TWEQCOMB-INDU.csv,1,Taiwan Industrials,,Asia ex-JP,INDU,12/07/2012,,,05:00:00
TWEQCOMB-COMS,TW_EQ_COMB,MIX,Mixed,EQ,,,COMB,Taiwan,TW,EM,Combined positioning in Taiwanese Com. Serv. Stocks,Daily,APAC,Combined,Mixed,Mixed,Mixed,APAC/Asia ex-JP/EM/Taiwan/EQ/Mixed/Mixed/Combined/Mixed/Mixed/TWEQCOMB-COMS.csv,1,Taiwan Com.Serv.,,Asia ex-JP,COMS,12/07/2012,,,05:00:00
TWEQCOMB-STAP,TW_EQ_COMB,MIX,Mixed,EQ,,,COMB,Taiwan,TW,EM,Combined positioning in Taiwanese Cons. Staples Stocks,Daily,APAC,Combined,Mixed,Mixed,Mixed,APAC/Asia ex-JP/EM/Taiwan/EQ/Mixed/Mixed/Combined/Mixed/Mixed/TWEQCOMB-STAP.csv,1,Taiwan Cons. Staples,,Asia ex-JP,STAP,12/07/2012,,,05:00:00
TWEQCOMB-HLTH,TW_EQ_COMB,MIX,Mixed,EQ,,,COMB,Taiwan,TW,EM,Combined positioning in Taiwanese Health care Stocks,Daily,APAC,Combined,Mixed,Mixed,Mixed,APAC/Asia ex-JP/EM/Taiwan/EQ/Mixed/Mixed/Combined/Mixed/Mixed/TWEQCOMB-HLTH.csv,1,Taiwan Health care,,Asia ex-JP,HLTH,12/07/2012,,,05:00:00
TWEQCOMB-MATE,TW_EQ_COMB,MIX,Mixed,EQ,,,COMB,Taiwan,TW,EM,Combined positioning in Taiwanese Materials Stocks,Daily,APAC,Combined,Mixed,Mixed,Mixed,APAC/Asia ex-JP/EM/Taiwan/EQ/Mixed/Mixed/Combined/Mixed/Mixed/TWEQCOMB-MATE.csv,1,Taiwan Materials,,Asia ex-JP,MATE,12/07/2012,,,05:00:00
KREQFUTUDOMINSREAPEN,KR_EQ_OPT,FUTU,Futures,EQ,,,INS,Korea,KR,EM,Domestic pension funds' flow into Korean futures,Daily,APAC,Institutional,Domestic,Pension funds,Real money,APAC/Asia ex-JP/EM/Korea/EQ/Futures/Domestic/Institutional/Real money/Pension funds/KREQFUTUDOMINSREAPEN.csv,1,Korea Domestic Pension Funds Equity Futures,DOM,Asia ex-JP,,09/01/2009,PEN,REA,01:00:00
KREQFUTUDOMINDMIXRET,KR_EQ_OPT,FUTU,Futures,EQ,,,IND,Korea,KR,EM,Domestic retail investor flow into Korean futures,Daily,APAC,Individual,Domestic,Retail,Mixed,APAC/Asia ex-JP/EM/Korea/EQ/Futures/Domestic/Individual/Mixed/Retail/KREQFUTUDOMINDMIXRET.csv,1,Korea Domestic Retail Equity Futures,DOM,Asia ex-JP,,09/01/2009,RET,MIX,01:00:00
CNEQHSHRMIXMIXPASETF-HLTH,ETF_3,HSHR,H-Shares,EQ,,,MIX,China,CN,EM,ETFs flows into China H-Shares Healthcare,Daily,APAC,Mixed,Mixed,ETF,Passive,APAC/Asia ex-JP/EM/China/EQ/H-Shares/Mixed/Mixed/Passive/ETF/CNEQHSHRMIXMIXPASETF-HLTH.csv,1,ETFs China Healthcare H-Shares,MIX,Asia ex-JP,HLTH,21/03/2021,ETF,PAS,09:00:00
EUFXFUTUEURMIXINSSPECTA,CTA,FUTU,Futures,FX,eur curncy,EUR,INS,Mixed,EU,DM,CTA flows in EUR/USD futures,Daily,EMEA,Institutional,Mixed,CTA,Speculative,EMEA/Europe/DM/Mixed/FX/Futures/Mixed/Institutional/Speculative/CTA/EUFXFUTUEURMIXINSSPECTA.csv,1,CTA EUR,MIX,Europe,,10/01/2010,CTA,SPE,00:00:00
ZAFXFUTUZARMIXINSSPECTA,CTA,FUTU,Futures,FX,zar curncy,ZAR,INS,South-Africa,ZA,EM,CTA flows in ZAR/USD forward,Daily,EMEA,Institutional,Mixed,CTA,Speculative,EMEA/Africa/EM/South-Africa/FX/Futures/Mixed/Institutional/Speculative/CTA/ZAFXFUTUZARMIXINSSPECTA.csv,1,CTA ZAR,MIX,Africa,,10/01/2010,CTA,SPE,00:00:00
GLCOMFUTUHG1MIXINSSPECTA,CTA,FUTU,Futures,COM,hg1 comdty,HG1,INS,Global,GL,DM,CTA flows in Copper futures,Daily,GLOBAL,Institutional,Mixed,CTA,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/CTA/GLCOMFUTUHG1MIXINSSPECTA.csv,1,CTA Copper,MIX,Global,,10/01/2010,CTA,SPE,00:00:00
THEQFUTUBC1MIXINSSPERP,RP,FUTU,Futures,EQ,bc1 index,BC1,INS,Thailand,TH,EM,Risk Parity funds flows in SET50 futures,Daily,APAC,Institutional,Mixed,Risk Parity,Speculative,APAC/Asia ex-JP/EM/Thailand/EQ/Futures/Mixed/Institutional/Speculative/Risk Parity/THEQFUTUBC1MIXINSSPERP.csv,1,Risk Parity Funds SET50 ,MIX,Asia ex-JP,,10/01/2010,RP,SPE,00:00:00
JPEQCOMB-TECH,JP_EQ_COMB_S,MIX,Mixed,EQ,,,COMB,Japan,JP,DM,Combined positioning in Japanese Tech Stocks,Weekly,APAC,Combined,Mixed,Mixed,Mixed,APAC/Asia/DM/Japan/EQ/Mixed/Mixed/Combined/Mixed/Mixed/JPEQCOMB-TECH.csv,1,Japan Tech,,Asia,TECH,01/01/2010,,,05:00:00
USFIFUTUTY1MIXINSSPERP,RP,FUTU,Futures,FI,ty1 comdty,TY1,INS,US,US,DM,Risk Parity funds flows in UST 10YR futures,Daily,AMER,Institutional,Mixed,Risk Parity,Speculative,AMER/NA/DM/US/FI/Futures/Mixed/Institutional/Speculative/Risk Parity/USFIFUTUTY1MIXINSSPERP.csv,1,Risk Parity Funds UST 10YR ,MIX,,,10/01/2010,RP,SPE,00:00:00
USFIFUTUUSBEINSSPERP,RP,FUTU,Futures,FI,US_BE,USBE,INS,US,US,DM,Risk parity funds positioning in UST back-end (5YR and above),Daily,AMER,Institutional,Mixed,Risk Parity,Speculative,AMER/NA/DM/US/FI/Futures/Mixed/Institutional/Speculative/Risk Parity/USFIFUTUUSBEINSSPERP.csv,1,Risk Parity Funds UST back-end (5YR and above),MIX,,,10/01/2010,RP,SPE,00:00:00
GLCOMFUTUMETAINSSPERP,RP,FUTU,Futures,COM,Base_metals,META,INS,Global,GL,DM,Risk parity funds flows in Base metals,Daily,GLOBAL,Institutional,Mixed,Risk Parity,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Risk Parity/GLCOMFUTUMETAINSSPERP.csv,1,Risk Parity Funds Base metals,MIX,Global,,10/01/2010,RP,SPE,00:00:00
INEQCOMB-MATE,IN_EQ_COMB_S,MIX,Mixed,EQ,,,COMB,India,IN,EM,Combined positioning in Indian Materials Stocks,Bi-Weekly,APAC,Combined,Mixed,Mixed,Mixed,APAC/Asia ex-JP/EM/India/EQ/Mixed/Mixed/Combined/Mixed/Mixed/INEQCOMB-MATE.csv,14,India Materials,,Asia ex-JP,MATE,12/05/2012,,,15:00:00
USEQCOMB-FINA,US_EQ_COMB_S,MIX,Mixed,EQ,,,COMB,US,US,DM,Combined positioning in US financial stocks,Daily,AMER,Combined,Mixed,Mixed,Mixed,AMER/NA/DM/US/EQ/Mixed/Mixed/Combined/Mixed/Mixed/USEQCOMB-FINA.csv,1,US Financials,,,FINA,10/01/2010,,,05:00:00
USEQSTCKMIXMIXPASETF-DISC,ETF_3,STCK,Stocks,EQ,,,MIX,US,US,DM,ETFs flows into Cons. Disc. US equities,Daily,AMER,Mixed,Mixed,ETF,Passive,AMER/NA/DM/US/EQ/Stocks/Mixed/Mixed/Passive/ETF/USEQSTCKMIXMIXPASETF-DISC.csv,1,ETFs US Cons. Disc. Equities,MIX,,DISC,01/01/2001,ETF,PAS,09:00:00
CHEQSTCKMIXMIXPASETF,ETF_3,STCK,Stocks,EQ,,,MIX,Switzerland,CH,DM,ETFs flows into Swiss equities,Daily,EMEA,Mixed,Mixed,ETF,Passive,EMEA/Europe/DM/Switzerland/EQ/Stocks/Mixed/Mixed/Passive/ETF/CHEQSTCKMIXMIXPASETF.csv,1,ETFs Swiss Equities,MIX,Europe,,01/01/2001,ETF,PAS,09:00:00
CNEQASHRCOMB-UTIL,CN_EQ_A_COMB_S,ASHR,A-Shares,EQ,,,COMB,China,CN,EM,Combined positioning in China A-Shares Utilities stocks,Daily,APAC,Combined,Mixed,Mixed,Mixed,APAC/Asia ex-JP/EM/China/EQ/A-Shares/Mixed/Combined/Mixed/Mixed/CNEQASHRCOMB-UTIL.csv,1,China A-Shares Utilities,,Asia ex-JP,UTIL,20/03/2020,,,05:00:00
CNEQHSHRCOMB-RLST,CN_EQ_H_COMB_S,HSHR,H-Shares,EQ,,,COMB,China,CN,EM,Combined positioning in China H-Shares Real estate stocks,Daily,APAC,Combined,Mixed,Mixed,Mixed,APAC/Asia ex-JP/EM/China/EQ/H-Shares/Mixed/Combined/Mixed/Mixed/CNEQHSHRCOMB-RLST.csv,1,China H-Shares Real Estate,,Asia ex-JP,RLST,20/01/2020,,,05:00:00
ZAEQCOMB,EM_EQ_COMB,MIX,Mixed,EQ,,,COMB,South-Africa,ZA,EM,Combined positioning in South-Africa stocks,Daily,EMEA,Combined,Mixed,Mixed,Mixed,EMEA/Africa/EM/South-Africa/EQ/Mixed/Mixed/Combined/Mixed/Mixed/ZAEQCOMB.csv,1,South-Africa Equity,,Africa,,10/01/2010,,,05:00:00
IDEQCOMB,EM_EQ_COMB,MIX,Mixed,EQ,,,COMB,Indonesia,ID,EM,Combined positioning in Indonesia stocks,Daily,APAC,Combined,Mixed,Mixed,Mixed,APAC/Asia ex-JP/EM/Indonesia/EQ/Mixed/Mixed/Combined/Mixed/Mixed/IDEQCOMB.csv,1,Indonesia Equity,,Asia ex-JP,,10/01/2010,,,05:00:00
USEQSTCKMIXMIXSPEMIX-UTIL,US_EQ_SI_2,STCK,Stocks,EQ,,,MIX,US,US,DM,Investor short positions in US Utilities Equities,Bi-Weekly,AMER,Mixed,Mixed,Mixed,Speculative,AMER/NA/DM/US/EQ/Stocks/Mixed/Mixed/Speculative/Mixed/USEQSTCKMIXMIXSPEMIX-UTIL.csv,1,US Utilities Short Positions,MIX,,UTIL,07/10/2007,MIX,SPE,08:00:00
NLEQSTCKMIXINSSPEMIX,EU_EQ_SI,STCK,Stocks,EQ,,,INS,Netherlands,NL,DM,Investor short positions in Netherlands equities,Daily,EMEA,Institutional,Mixed,Mixed,Speculative,EMEA/Europe/DM/Netherlands/EQ/Stocks/Mixed/Institutional/Speculative/Mixed/NLEQSTCKMIXINSSPEMIX.csv,2,Netherlands Short Positions ,MIX,Europe,,13/01/2013,MIX,SPE,08:00:00
ITEQSTCKMIXINSSPEMIX-ENER,EU_EQ_SI,STCK,Stocks,EQ,,,INS,Italy,IT,DM,Investor short positions in Italy Energy Stocks,Daily,EMEA,Institutional,Mixed,Mixed,Speculative,EMEA/Europe/DM/Italy/EQ/Stocks/Mixed/Institutional/Speculative/Mixed/ITEQSTCKMIXINSSPEMIX-ENER.csv,2,Italy Energy Short Positions ,MIX,Europe,ENER,13/01/2013,MIX,SPE,08:00:00
GLCOMCOMB-SM1,COM_COMB,MIX,Mixed,COM,sm1 comdty,SM1,COMB,Global,GL,DM,Combined positioning in Soybean Meal ,Daily,GLOBAL,Combined,Mixed,Mixed,Mixed,GLOBAL/Global/DM/Global/COM/Mixed/Mixed/Combined/Mixed/Mixed/GLCOMCOMB-SM1.csv,1,Soybean Meal,,Global,,10/01/2010,,,05:00:00
GLCOMCOMB-CL1,COM_COMB,MIX,Mixed,COM,cl1 comdty,CL1,COMB,Global,GL,DM,Combined positioning in WTI Crude ,Daily,GLOBAL,Combined,Mixed,Mixed,Mixed,GLOBAL/Global/DM/Global/COM/Mixed/Mixed/Combined/Mixed/Mixed/GLCOMCOMB-CL1.csv,1,WTI Crude,,Global,,10/01/2010,,,05:00:00
KREQFUTUDOMINSREAMUT,KR_EQ_OPT,FUTU,Futures,EQ,,,INS,Korea,KR,EM,Domestic Mutual funds' flows into Korean futures,Daily,APAC,Institutional,Domestic,Mutual funds/Investment trusts,Real money,APAC/Asia ex-JP/EM/Korea/EQ/Futures/Domestic/Institutional/Real money/Mutual funds/Investment trusts/KREQFUTUDOMINSREAMUT.csv,1,Korea Domestic MFs Equity Futures,DOM,Asia ex-JP,,09/01/2009,MUT,REA,01:00:00
KREQSTCKDOMINSCOMDEA-UTIL,KR_EQ,STCK,Stocks,EQ,,,INS,Korea,KR,EM,Domestic financial investment flow into Korean utilities stocks,Daily,APAC,Institutional,Domestic,Dealer,Commercial,APAC/Asia ex-JP/EM/Korea/EQ/Stocks/Domestic/Institutional/Commercial/Dealer/KREQSTCKDOMINSCOMDEA-UTIL.csv,1,Korea Domestic Financial inv. Utility ,DOM,Asia ex-JP,UTIL,15/05/2015,DEA,COM,01:00:00
KREQSTCKDOMINDMIXRET-HLTH,KR_EQ,STCK,Stocks,EQ,,,IND,Korea,KR,EM,Domestic retail investor flow into Korean healthcare stocks,Daily,APAC,Individual,Domestic,Retail,Mixed,APAC/Asia ex-JP/EM/Korea/EQ/Stocks/Domestic/Individual/Mixed/Retail/KREQSTCKDOMINDMIXRET-HLTH.csv,1,Korea Domestic Retail Health care ,DOM,Asia ex-JP,HLTH,15/05/2015,RET,MIX,01:00:00
