series_id,model_id,asset_code,asset_subtype,asset_type,benchmark,benchmark_code,category_code,country,country_code,dm_em,description,frequency,geography,investor_category,investor_origin,investor_subtype,investor_type,key,lag,name,origin_code,region,sector,start_date,subtype_code,type_code,update_time
GLCOMFUTUHG1MIXINSSPEMIX,CFTC,FUTU,Futures,COM,hg1 comdty,HG1,INS,Global,GL,DM,Non Commercial investor positioning in Copper futures,Weekly,GLOBAL,Institutional,Mixed,Mixed,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Mixed/GLCOMFUTUHG1MIXINSSPEMIX.csv,7,Non-commercial inv. Copper ,MIX,Global,,06/09/2006,MIX,SPE,07:00:00
GLCOMFUTUCL1MIXINSSPEMIX,CFTC,FUTU,Futures,COM,cl1 comdty,CL1,INS,Global,GL,DM,Non Commercial investor positioning in WTI Crude futures,Weekly,GLOBAL,Institutional,Mixed,Mixed,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Mixed/GLCOMFUTUCL1MIXINSSPEMIX.csv,7,Non-commercial inv. WTI Crude ,MIX,Global,,06/09/2006,MIX,SPE,07:00:00
MXFXFUTUPE1MIXINSSPEMIX,CFTC,FUTU,Futures,FX,pe1 curncy,PE1,INS,Mexico,MX,EM,Non Commercial investor positioning in MXN futures,Weekly,AMER,Institutional,Mixed,Mixed,Speculative,AMER/LATAM/EM/Mexico/FX/Futures/Mixed/Institutional/Speculative/Mixed/MXFXFUTUPE1MIXINSSPEMIX.csv,7,Non-commercial inv. MXN ,MIX,LATAM,,06/09/2006,MIX,SPE,07:00:00
BRFXFUTUBR1MIXINSSPEMIX,CFTC,FUTU,Futures,FX,br1 curncy,BR1,INS,Brazil,BR,EM,Non Commercial investor positioning in BRL futures,Weekly,AMER,Institutional,Mixed,Mixed,Speculative,AMER/LATAM/EM/Brazil/FX/Futures/Mixed/Institutional/Speculative/Mixed/BRFXFUTUBR1MIXINSSPEMIX.csv,7,Non-commercial inv. BRL ,MIX,LATAM,,11/04/2011,MIX,SPE,07:00:00
USEQFUTUES1MIXINSSPEMIX,CFTC,FUTU,Futures,EQ,es1 index,ES1,INS,US,US,DM,Non Commercial investor positioning in S&P500 E-mini futures,Weekly,AMER,Institutional,Mixed,Mixed,Speculative,AMER/NA/DM/US/EQ/Futures/Mixed/Institutional/Speculative/Mixed/USEQFUTUES1MIXINSSPEMIX.csv,7,Non-commercial inv. S&P500 E-mini ,MIX,,,06/09/2006,MIX,SPE,07:00:00
GLCOMFUTUW1MIXINSSPEMIX,CFTC,FUTU,Futures,COM,w 1 comdty,W1,INS,Global,GL,DM,Non Commercial investor positioning in Wheat futures,Weekly,GLOBAL,Institutional,Mixed,Mixed,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Mixed/GLCOMFUTUW1MIXINSSPEMIX.csv,7,Non-commercial inv. Wheat ,MIX,Global,,06/09/2006,MIX,SPE,07:00:00
GLCOMFUTUC1MIXINSSPEMIX,CFTC,FUTU,Futures,COM,c 1 comdty,C1,INS,Global,GL,DM,Non Commercial investor positioning in Corn futures,Weekly,GLOBAL,Institutional,Mixed,Mixed,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Mixed/GLCOMFUTUC1MIXINSSPEMIX.csv,7,Non-commercial inv. Corn ,MIX,Global,,06/09/2006,MIX,SPE,07:00:00
GLCOMFUTUS1MIXINSSPEMIX,CFTC,FUTU,Futures,COM,s 1 comdty,S1,INS,Global,GL,DM,Non Commercial investor positioning in Soybean futures,Weekly,GLOBAL,Institutional,Mixed,Mixed,Speculative,GLOBAL/Global/DM/Global/COM/Futures/Mixed/Institutional/Speculative/Mixed/GLCOMFUTUS1MIXINSSPEMIX.csv,7,Non-commercial inv. Soybean ,MIX,Global,,06/09/2006,MIX,SPE,07:00:00
ZAFXFUTURA1MIXINSSPEMIX,CFTC,FUTU,Futures,FX,ra1 curncy,RA1,INS,South-Africa,ZA,EM,Non Commercial investor positioning in ZAR futures,Weekly,EMEA,Institutional,Mixed,Mixed,Speculative,EMEA/Africa/EM/South-Africa/FX/Futures/Mixed/Institutional/Speculative/Mixed/ZAFXFUTURA1MIXINSSPEMIX.csv,7,Non-commercial inv. ZAR ,MIX,Africa,,10/03/2010,MIX,SPE,07:00:00
NZFXFUTUNV1MIXINSSPEMIX,CFTC,FUTU,Futures,FX,nv1 curncy,NV1,INS,New-Zealand,NZ,DM,Non Commercial investor positioning in NZD futures,Weekly,APAC,Institutional,Mixed,Mixed,Speculative,APAC/Oceania/DM/New-Zealand/FX/Futures/Mixed/Institutional/Speculative/Mixed/NZFXFUTUNV1MIXINSSPEMIX.csv,7,Non-commercial inv. NZD ,MIX,Oceania,,06/09/2006,MIX,SPE,07:00:00
